,train_loss,test_loss,train_mse,test_mse
0,0.6786678314208985,0.685898169875145,1.0286229,1.043247
1,0.5893493831157685,0.5961761772632599,0.77588975,0.7879977
2,0.5425362139940262,0.5486450642347336,0.6574003,0.66734934
3,0.5212991058826446,0.5282344967126846,0.6070372,0.61861324
4,0.4780865013599396,0.4843869060277939,0.51057845,0.52030873
5,0.42101782709360125,0.4273114949464798,0.39594266,0.40485403
6,0.38457987904548646,0.38974738866090775,0.3303863,0.3368567
7,0.3604240119457245,0.36547481268644333,0.290201,0.29614207
8,0.34623996168375015,0.3506251722574234,0.26779068,0.27270272
9,0.3338402256369591,0.33888889849185944,0.24895065,0.2546389
10,0.3231069058179855,0.3275735229253769,0.23320499,0.23790562
11,0.31540519148111346,0.31993208080530167,0.22219236,0.22694355
12,0.30598008781671526,0.3093480169773102,0.20920673,0.21229309
13,0.2987054616212845,0.30351148545742035,0.19934388,0.20425896
14,0.2937408179044724,0.29814431816339493,0.19279155,0.19713293
15,0.28861609697341917,0.2931465804576874,0.18612947,0.19050014
16,0.2831897810101509,0.2868318557739258,0.17924511,0.18240148
17,0.27881868481636046,0.2814340591430664,0.17366228,0.17566544
18,0.27443756014108656,0.2772514373064041,0.16827498,0.17044744
19,0.2714668311178684,0.2736474648118019,0.1647068,0.16602787
20,0.2675530187785625,0.27081604301929474,0.16007891,0.16261902
21,0.26468085795640944,0.2675282210111618,0.15649451,0.15876825
22,0.2637209214270115,0.2655649557709694,0.15541437,0.15635322
23,0.2616445906460285,0.2653568461537361,0.15296665,0.15612659
24,0.2583042480051517,0.260989747941494,0.14912501,0.15103532
25,0.2561386123299599,0.2588425725698471,0.14663021,0.14855208
26,0.2536304220557213,0.2562815696001053,0.14376256,0.14572112
27,0.2522002384066582,0.2550608217716217,0.14213231,0.14437373
28,0.24976336658000947,0.25271544232964516,0.13946617,0.14173461
29,0.24864670783281326,0.25150734931230545,0.13815552,0.14027722
30,0.24752239212393762,0.2503262087702751,0.13694128,0.13899013
31,0.24506051391363143,0.2482627034187317,0.13427563,0.13673839
32,0.2461724229156971,0.24958662688732147,0.13540885,0.13818552
33,0.24317127019166945,0.24656939879059792,0.13226634,0.13483967
34,0.24069894328713418,0.2444017417728901,0.12958361,0.1324528
35,0.24079876989126206,0.24440313503146172,0.12961215,0.13256805
36,0.23955435305833817,0.24246979877352715,0.12824059,0.13051641
37,0.23670536279678345,0.2402404434978962,0.12529753,0.12799327
38,0.23790343403816222,0.24129750207066536,0.1264733,0.12911238
39,0.23602234646677972,0.23902254551649094,0.12453493,0.12673876
40,0.23424236252903938,0.2379177175462246,0.12262853,0.12565266
41,0.23228847980499268,0.2354276068508625,0.12059158,0.12290764
42,0.2311173804104328,0.23457012698054314,0.11950578,0.12217285
43,0.23096448183059692,0.23455588519573212,0.11931597,0.1220859
44,0.230852173268795,0.23415815830230713,0.11916363,0.12157221
45,0.22957557290792466,0.23368406295776367,0.11786852,0.12109509
46,0.22701099812984465,0.23041842505335808,0.11526924,0.11795577
47,0.2265942059457302,0.23005878552794456,0.1147655,0.11753325
48,0.22658328637480735,0.2301481068134308,0.114862695,0.11768682
49,0.22779094725847243,0.2315012402832508,0.115964435,0.11884202
50,0.2250300481915474,0.2287050224840641,0.11320005,0.11602197
51,0.22292434871196748,0.22657714784145355,0.11110413,0.113825485
52,0.2225697286427021,0.22617974877357483,0.11080988,0.1135277
53,0.2223422884941101,0.22517383098602295,0.110486254,0.11259194
54,0.22108273431658745,0.22479674220085144,0.10925704,0.112048276
55,0.22036202996969223,0.22462781891226768,0.10866197,0.111880384
56,0.21830095648765563,0.22232096642255783,0.10663613,0.1096536
57,0.21964459046721457,0.22359151393175125,0.10783992,0.11091211
58,0.21921904534101486,0.22319088131189346,0.10741614,0.11053367
59,0.21721157282590867,0.22101284563541412,0.10552549,0.10844238
60,0.21675025448203086,0.22078733518719673,0.10501089,0.10817259
61,0.21583792194724083,0.21969333291053772,0.10420148,0.10716718
62,0.21576790064573287,0.21960215270519257,0.10414164,0.10699177
63,0.21591556891798974,0.21936094015836716,0.104193404,0.10692176
64,0.2140914797782898,0.21740468591451645,0.102446534,0.10505281
65,0.21333663612604142,0.21729793027043343,0.10178451,0.10483743
66,0.21272724568843843,0.2168816551566124,0.10116404,0.10435062
67,0.21482559591531752,0.21821215376257896,0.103136756,0.105582945
68,0.2123482994735241,0.21627585217356682,0.10081768,0.10380826
69,0.211645670235157,0.21530044451355934,0.10014597,0.1027856
70,0.2130064532160759,0.21715425327420235,0.10143842,0.10461645
71,0.21132657900452614,0.2150690294802189,0.099804424,0.10263434
72,0.20924618393182753,0.21328086778521538,0.09791281,0.10086412
73,0.20966339558362962,0.21346423029899597,0.09826699,0.101161286
74,0.2105141043663025,0.21449996531009674,0.099088706,0.10211711
75,0.2077604427933693,0.21193262189626694,0.09661686,0.099622786
76,0.20862485393881797,0.212723258882761,0.097338155,0.10041525
77,0.2056944601237774,0.21004636213183403,0.09467443,0.09784305
78,0.20787695720791816,0.21137580275535583,0.09659693,0.099242814
79,0.20716145932674407,0.21184628829360008,0.096085414,0.09950047
80,0.20719253942370414,0.21147052943706512,0.095997006,0.09919334
81,0.20643646493554116,0.21067267656326294,0.09538843,0.098441005
82,0.20601450502872468,0.2106892615556717,0.09485275,0.0984594
83,0.20483058393001558,0.20891831070184708,0.093805,0.09679212
84,0.20529799088835715,0.20914114639163017,0.09422809,0.09707474
85,0.2051237218081951,0.2088637463748455,0.09404028,0.096805215
86,0.2036662667989731,0.20782198011875153,0.0928081,0.095811486
87,0.20384857133030893,0.20830441266298294,0.092895135,0.09627125
88,0.2031893476843834,0.2074490338563919,0.092264935,0.09589279
89,0.20217189118266105,0.20654068514704704,0.091469765,0.09458235
90,0.20070844739675522,0.2051004357635975,0.090107135,0.09340734
91,0.20448770523071289,0.20845405757427216,0.09352526,0.09650011
92,0.20171836838126184,0.2061380334198475,0.09100155,0.094300166
93,0.20247136130928994,0.2065814845263958,0.091689855,0.09467442
94,0.20027903094887733,0.20443632081151009,0.08964829,0.09279941
95,0.20174830853939058,0.2059241533279419,0.09100746,0.094017275
96,0.20152494832873344,0.20596500113606453,0.09080412,0.09426013
97,0.19975954070687293,0.2040468044579029,0.08926873,0.09230906
98,0.1993958532810211,0.20377326011657715,0.08893274,0.09230187
99,0.1991600550711155,0.20347106084227562,0.088732466,0.091847464
